time,seconds_elapsed_acc,z_acc,y_acc,x_acc,seconds_elapsed_gyro,z_gyro,y_gyro,x_gyro
1772843539221994500,0.255994384765625,-0.0999031066894531,-0.0177370570600032,0.0159799754619598,0.264293701171875,-0.00167987938039,0.0094684110954403,0.0163406450301408
1772843539238623700,0.272623779296875,-0.0732860565185546,0.0200753360986709,-0.009628526866436,0.280930419921875,0.0079412478953599,0.01328631862998,0.0030543261673301
1772843539255226600,0.2892265625,-0.0824356079101562,0.0429656021296978,0.0005738362669944,0.280930419921875,0.0079412478953599,0.01328631862998,0.0030543261673301
1772843539271848000,0.305847900390625,-0.0158643722534179,0.0382540971040725,-0.0356152802705764,0.297550048828125,0.009010262787342,-0.0082466807216405,-0.0077885319478809
1772843539288481300,0.322481201171875,-0.013162612915039,0.0362659506499767,-0.0382094234228134,0.314171142578125,0.0189368221908807,-0.0302378293126821,-0.0172569435089826
1772843539305101600,0.3391015625,-0.0596141815185546,0.0130585469305515,0.0594128966331481,0.33079296875,0.02122756652534,-0.0334448739886283,-0.0184786729514598
1772843539321723000,0.355722900390625,-0.052983283996582,0.0029487907886505,0.0725054293870925,0.34741796875,0.0019853119738399,-0.0186313893646001,-0.0184786729514598
1772843539338341000,0.372341064453125,-0.0298795700073242,0.0362580902874469,0.0160758197307586,0.36403369140625,-0.009010262787342,-0.0059559359215199,-0.0163406450301408
1772843539354950700,0.38895068359375,-0.0357570648193359,0.0496465042233467,-0.0297201424837112,0.380654052734375,-0.0088575463742017,-0.0177150927484035,-0.0096211275085806
1772843539371571200,0.4055712890625,-0.0599689483642578,0.0301310829818248,0.0504702627658844,0.397274169921875,0.0088575463742017,-0.0198531206697225,-0.0010690141934901
1772843539388202500,0.422202392578125,-0.0542278289794921,0.0265766531229019,0.1271690428256988,0.4138955078125,0.0093156946823,-0.0050396383740007,-0.0004581489483825
1772843539404826000,0.438826171875,0.0188312530517578,0.032681930810213,0.0987179726362228,0.44713525390625,-0.0213802829384803,0.0175623763352632,0.0221438650041818
1772843539421445000,0.455445068359375,0.0390558242797851,0.0254959538578987,-0.0454493686556816,0.44713525390625,-0.0213802829384803,0.0175623763352632,0.0221438650041818
1772843539438066400,0.47206640625,-0.0122289657592773,0.0359034836292266,-0.075251281261444,0.463756591796875,-0.0120645882561802,-0.0123700210824608,0.0302378293126821
1772843539454674700,0.4886748046875,-0.07958984375,0.0615002773702144,0.0149811655282974,0.480376220703125,-0.0001527163112768,-0.0259617734700441,0.0178678091615438
1772843539471294700,0.505294677734375,-0.1105661392211914,0.0336613357067108,0.0531425178050994,0.496999267578125,-0.0021380283869802,-0.0047342055477201,-0.0019853119738399
1772843539487915500,0.52191552734375,-0.0417156219482421,0.015461191534996,-0.0028150826692581,0.51361767578125,-0.0100792767480015,0.0135917514562606,-0.0137444678694009
1772843539504548400,0.53854833984375,0.0002222061157226,-0.0068827830255031,-0.0277383029460906,0.546857421875,-0.0061086523346602,0.005192354787141,0.0158824957907199
1772843539521166000,0.555166015625,0.0063848495483398,-0.0097198598086833,-0.0345072671771049,0.546857421875,-0.0061086523346602,0.005192354787141,0.0158824957907199
1772843539537792500,0.57179248046875,-0.0420827865600585,0.0015572905540466,-0.0602299347519874,0.580099853515625,0.0058032199740409,-0.0074830991216003,0.0267253536731004
1772843539554400800,0.58840087890625,-0.0916557312011718,0.0124707370996475,-0.0179933682084083,0.580099853515625,0.0058032199740409,-0.0074830991216003,0.0267253536731004
1772843539571017500,0.605017578125,-0.0835046768188476,0.0048136934638023,0.0159794986248016,0.59672216796875,0.0103847095742821,-0.009010262787342,0.0113010071218013
1772843539587647000,0.62164697265625,-0.0749835968017578,-0.0099468119442462,0.0047543793916702,0.613339111328125,0.0047342055477201,-0.01328631862998,-0.0007635815418325
1772843539604272000,0.638272216796875,-0.0615921020507812,0.0070111155509948,-0.0163476020097732,0.629962890625,0.0038179077673703,-0.0207694191485643,-0.0119118718430399
1772843539620889600,0.6548896484375,-0.0649929046630859,0.0188243351876735,0.0274432003498077,0.663187255859375,0.00167987938039,-0.0126754539087414,-0.0172569435089826
1772843539637497600,0.67149755859375,-0.033823013305664,-0.0038945041596889,0.0362072587013244,0.663187255859375,0.00167987938039,-0.0126754539087414,-0.0172569435089826
1772843539654120700,0.68812060546875,-0.0060329437255859,-0.0074199214577674,0.0158869624137878,0.67981005859375,-0.0067195175215601,0.0,-0.0140499006956815
1772843539670741000,0.704740966796875,0.0144023895263671,0.0172562897205352,-0.002303272485733,0.696431884765625,-0.005192354787141,-0.0004581489483825,-0.0067195175215601
1772843539687362600,0.721362548828125,0.0041427612304687,0.0204911604523658,0.018593430519104,0.7296728515625,-0.0019853119738399,0.0080939643085002,0.0189368221908807
1772843539703981600,0.737981689453125,-0.0195369720458984,0.0069023258984088,-0.0341373905539512,0.7296728515625,-0.0019853119738399,0.0080939643085002,0.0189368221908807
1772843539720600300,0.754600341796875,-0.0585765838623046,0.0172385014593601,-0.0276470631361007,0.746292724609375,0.0068722339347004,0.0119118718430399,0.0232128798961639
1772843539737225500,0.7712255859375,-0.0854110717773437,0.0161901265382766,-0.0526697039604187,0.779533447265625,0.0079412478953599,-0.0178678091615438,0.0010690141934901
1772843539753844000,0.787843994140625,-0.1680240631103515,-0.0046363472938537,-0.016817033290863,0.779533447265625,0.0079412478953599,-0.0178678091615438,0.0010690141934901
1772843539770466800,0.804466796875,-0.1286935806274414,-0.0008209683001041,0.0105691105127334,0.79615869140625,0.005192354787141,-0.0082466807216405,-0.0186313893646001
1772843539787095800,0.821095703125,-0.0276870727539062,-0.0179866701364517,-0.0253454744815826,0.812788330078125,-0.0007635815418325,-0.0059559359215199,-0.0308486949652433
1772843539803718400,0.837718505859375,0.0129890441894531,0.0044990926980972,-0.0240155458450317,0.829409423828125,0.0025961773935705,-0.0088575463742017,-0.0216857157647609
1772843539820336400,0.85433642578125,0.0092983245849609,0.0202932357788085,-0.0030466020107269,0.862618896484375,0.0197004042565822,-0.0085521135479211,-0.0003054326225537
1772843539836963000,0.870963134765625,0.0186491012573242,0.030545525252819,0.0969452708959579,0.87927099609375,0.009010262787342,0.0195476878434419,0.0148134818300604
1772843539853588700,0.887588623046875,0.0320205688476562,0.0105330310761928,0.0876978784799575,0.895891845703125,-0.0058032199740409,0.0106901414692401,0.0274889357388019
1772843539870189800,0.90418994140625,-0.0503253936767578,-0.0140454396605491,-0.0354616194963455,0.895891845703125,-0.0058032199740409,0.0106901414692401,0.0274889357388019
1772843539886809900,0.920809814453125,-0.1559944152832031,0.0123393051326274,-0.080370157957077,0.91251171875,-0.0004581489483825,-0.0105374250560998,0.0229074470698833
1772843539903441200,0.937441162109375,-0.1957406997680664,0.0411177426576614,0.0005780756473541,0.9291318359375,0.012980886735022,-0.0329867228865623,-0.005192354787141
1772843539920056600,0.954056640625,-0.1112499237060546,0.0393283888697624,0.0820418149232864,0.945753173828125,0.0152716310694813,-0.0140499006956815,-0.0282525178045034
1772843539936681200,0.97068115234375,0.0396480560302734,0.0341114774346351,0.0651929974555969,0.96237353515625,0.0038179077673703,-0.0025961773935705,-0.027030786499381
1772843539953299200,0.98729931640625,0.1348886489868164,0.0403554700314998,0.01746067404747,0.978994140625,-0.0036651915870606,-0.0012217304902151,-0.00335975876078
