time,seconds_elapsed_acc,z_acc,y_acc,x_acc,seconds_elapsed_gyro,z_gyro,y_gyro,x_gyro
1772846021544910800,0.252910888671875,0.0134439468383789,-0.7069239616394043,-0.4608367085456848,0.261224365234375,-2.2380576133728027,-2.0427334308624268,-0.6664539575576782
1772846021561528000,0.269528076171875,0.749333381652832,-0.6157820224761963,-0.2707161009311676,0.261224365234375,-2.2380576133728027,-2.0427334308624268,-0.6664539575576782
1772846021578149000,0.286149169921875,1.70233154296875,-0.4628288745880127,-0.2105835974216461,0.27784326171875,-2.271807909011841,-1.9378172159194944,-0.7721336483955383
1772846021594770200,0.302770263671875,2.212535858154297,-0.4345057010650635,-0.0492297410964965,0.294462646484375,-2.293646335601806,-1.6282613277435305,-0.7273877859115601
1772846021611388200,0.31938818359375,2.170290946960449,-0.0578243732452392,-0.1268936395645141,0.311079345703125,-2.3571763038635254,-1.236696720123291,-0.6102544069290161
1772846021628007200,0.336007080078125,1.6457996368408203,0.3673958778381347,-0.2265806496143341,0.344315185546875,-2.478891134262085,-0.8533787727355957,-0.5126686692237854
1772846021644622300,0.352622314453125,1.091352462768555,0.418520450592041,-0.2922538518905639,0.344315185546875,-2.478891134262085,-0.8533787727355957,-0.5126686692237854
1772846021661230300,0.369230224609375,0.8481502532958984,0.5310068130493164,-0.5340512990951538,0.3609345703125,-2.495995283126831,-0.8379544019699097,-0.5557346343994141
1772846021677860600,0.385860595703125,0.8904581069946289,0.5255589485168457,-0.6506246328353882,0.37755322265625,-2.465146780014038,-0.9138544201850892,-0.5671883821487427
1772846021694474800,0.402474853515625,1.0187721252441406,0.3937380313873291,-0.4440894722938537,0.394169921875,-2.3904683589935303,-0.9431759119033812,-0.5288565754890442
1772846021711104500,0.4191044921875,0.9624671936035156,0.2829978466033935,-0.1995052993297577,0.427403564453125,-2.263561248779297,-0.9256135821342468,-0.3176499307155609
1772846021727714300,0.43571435546875,0.8026905059814453,0.0998363494873046,-0.1911748945713043,0.427403564453125,-2.263561248779297,-0.9256135821342468,-0.3176499307155609
1772846021744332500,0.45233251953125,0.7312002182006836,0.1174328327178955,-0.2419367730617523,0.44404150390625,-2.1646010875701904,-1.0212140083312988,-0.192422553896904
1772846021760952600,0.46895263671875,0.6180448532104492,0.1221089363098144,-0.329283058643341,0.477260009765625,-1.9828685522079468,-1.3782646656036377,0.1414152979850769
1772846021777539600,0.48553955078125,0.5514230728149414,0.2175374031066894,-0.4421210885047912,0.477260009765625,-1.9828685522079468,-1.3782646656036377,0.1414152979850769
1772846021794189600,0.502189453125,0.3521938323974609,0.4006893634796142,-0.4254364669322967,0.51047509765625,-1.7933475971221924,-1.517236590385437,0.3187189400196075
1772846021810804500,0.518804443359375,0.0198488235473632,0.7067768573760986,-0.1366493105888366,0.5271162109375,-1.793653130531311,-1.5703818798065186,0.270766019821167
1772846021827426800,0.5354267578125,-0.3390893936157226,0.8617115020751953,0.0497102737426757,0.5271162109375,-1.793653130531311,-1.5703818798065186,0.270766019821167
1772846021844043500,0.55204345703125,-0.312469482421875,0.8029930591583252,0.1561466455459594,0.5437421875,-1.821752905845642,-1.7201964855194092,0.1290452778339386
1772846021860662300,0.568662353515625,-0.0862007141113281,0.7153887748718262,0.2632914781570434,0.560375244140625,-1.8651243448257449,-1.750128984451294,-0.0039706239476799
1772846021877278500,0.585278564453125,-0.0582027435302734,0.6087479591369629,0.2659395933151245,0.576971435546875,-1.950034618377685,-1.5894713401794434,-0.0607810914516449
1772846021893899000,0.60189892578125,-0.0860862731933593,0.5358409881591797,0.0909442901611328,0.610190185546875,-2.1450533866882324,-1.1215485334396362,-0.0247400421649217
1772846021910500000,0.6185,-0.1769580841064453,0.4087204933166504,-0.3158084154129028,0.610190185546875,-2.1450533866882324,-1.1215485334396362,-0.0247400421649217
1772846021927121700,0.63512158203125,-0.5708141326904297,0.2706799507141113,-0.9196648597717284,0.62681298828125,-2.203238248825073,-0.9418014883995056,0.0757472887635231
1772846021943739600,0.65173974609375,-1.1028838157653809,0.2159047126770019,-1.5358424186706543,0.6434306640625,-2.191173553466797,-0.9308059215545654,0.1343903541564941
1772846021960357000,0.668357177734375,-1.2704787254333496,0.2125320434570312,-2.044255495071411,0.660048828125,-2.121229648590088,-1.0716103315353394,0.1073595657944679
1772846021976976000,0.684975830078125,-1.0555534362792969,0.1624360084533691,-2.0907301902771,0.676667236328125,-1.998598337173462,-1.1621711254119873,0.0433714315295219
1772846021993596200,0.70159619140625,-0.6506023406982422,0.0273590087890625,-1.9391392469406128,0.709903564453125,-1.8486309051513672,-1.116814374923706,0.052381694316864
1772846022010212600,0.718212646484375,-0.2526521682739258,-0.0420002937316894,-1.7889124155044556,0.709903564453125,-1.8486309051513672,-1.116814374923706,0.052381694316864
1772846022026829000,0.7348291015625,-0.0539398193359375,-0.0853948593139648,-1.7043499946594238,0.7265224609375,-1.817476868629456,-1.0682506561279297,0.1444696336984634
1772846022043468000,0.751468017578125,-0.1162891387939453,-0.2780523300170898,-1.6406621932983398,0.759771484375,-1.7282904386520386,-1.0409144163131714,0.2646573781967163
1772846022060070000,0.76806982421875,-0.1309576034545898,-0.2087130546569824,-1.597253680229187,0.759771484375,-1.7282904386520386,-1.0409144163131714,0.2646573781967163
1772846022076698600,0.78469873046875,-0.0038614273071289,-0.0176963806152343,-1.5653656721115112,0.79300537109375,-1.6140587329864502,-0.997237503528595,0.2988658249378204
1772846022093318100,0.801318115234375,0.197235107421875,0.1863965988159179,-1.426809549331665,0.80963037109375,-1.593594670295715,-0.970054030418396,0.3688098788261413
1772846022109922300,0.81792236328125,0.1589994430541992,0.4475107192993164,-1.2530291080474854,0.80963037109375,-1.593594670295715,-0.970054030418396,0.3688098788261413
1772846022126554400,0.834554443359375,-0.2296619415283203,0.5921492576599121,-1.212734937667847,0.842862548828125,-1.602757692337036,-0.8332201838493347,0.2869539558887481
